State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Bharuch,Ankleshwar,"Bitter gourd","Bitter Gourd",FAQ,13/08/2025,1000,3000,1500
Haryana,Gurgaon,Gurgaon,Brinjal,Brinjal,FAQ,13/08/2025,1000,1400,1200
Haryana,Gurgaon,Gurgaon,Carrot,Other,FAQ,13/08/2025,1000,1400,1200
Haryana,Rewari,Kosli,Tomato,Other,FAQ,13/08/2025,3000,3000,3000
Kerala,Alappuzha,Harippad,"Bottle gourd",Other,FAQ,13/08/2025,1500,2000,1500
Kerala,Alappuzha,Harippad,Brinjal,Other,FAQ,13/08/2025,4000,4500,4000
Kerala,Alappuzha,Harippad,Mango,Other,Medium,13/08/2025,5000,5500,5000
Kerala,Kollam,Sasthamkotta,Banana,Poovan,Medium,13/08/2025,3500,4000,3800
Kerala,Kollam,Sasthamkotta,Banana,"Red Banana",Medium,13/08/2025,4000,4500,4200
Kerala,Kottayam,Pampady,Banana,Medium,Medium,13/08/2025,6300,7500,7000
Kerala,Kottayam,Pampady,"Banana - Green","Banana - Green",FAQ,13/08/2025,6300,7500,7000
Kerala,Kottayam,Pampady,Cucumbar(Kheera),Other,FAQ,13/08/2025,4000,5500,5000
Kerala,Kottayam,Pampady,"Elephant Yam (Suran)",Other,FAQ,13/08/2025,5500,7500,6500
Kerala,Kottayam,Pampady,"Green Chilli","Green Chilly",FAQ,13/08/2025,5500,7000,6500
Kerala,Kottayam,Pampady,"Indian Beans (Seam)",Other,FAQ,13/08/2025,4300,5000,4500
Kerala,Kottayam,Pampady,Onion,Big,FAQ,13/08/2025,2000,2700,2500
Kerala,Kottayam,Pampady,Tapioca,Tapioca,FAQ,13/08/2025,3000,3500,3200
Kerala,Kozhikode(Calicut),Mukkom,"Bhindi(Ladies Finger)",Bhindi,FAQ,13/08/2025,4500,4800,4600
Kerala,Kozhikode(Calicut),Mukkom,"Green Chilli","Green Chilly",FAQ,13/08/2025,6700,7000,6900
Kerala,Pathanamthitta,"Mezhuveli  VFPCK",Snakeguard,Other,FAQ,13/08/2025,3500,4500,4300
Kerala,Thiruvananthapuram,Parassala,Banana,"Nendra Bale",Medium,13/08/2025,6000,6500,6000
Kerala,Thiruvananthapuram,Parassala,"Cluster beans","Cluster Beans",FAQ,13/08/2025,4000,4200,4000
Kerala,Thiruvananthapuram,Parassala,Tomato,Tomato,FAQ,13/08/2025,5800,6000,5800
Punjab,Hoshiarpur,"Tanda Urmur","Bitter gourd",Other,FAQ,13/08/2025,3000,3500,3200
Punjab,Hoshiarpur,"Tanda Urmur",Cabbage,Other,FAQ,13/08/2025,2000,2500,2200
Punjab,Hoshiarpur,"Tanda Urmur",Cucumbar(Kheera),Other,FAQ,13/08/2025,4000,5000,4500
Punjab,Hoshiarpur,"Tanda Urmur",Pineapple,Other,Medium,13/08/2025,4000,5000,4500
Punjab,Hoshiarpur,"Tanda Urmur",Potato,Other,FAQ,13/08/2025,1200,1400,1300
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Guava,Guava,Medium,13/08/2025,5300,5700,5500
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Tomato,Other,FAQ,13/08/2025,4300,4700,4500
